timestamp,operation,model,prompt_tokens,output_tokens,total_tokens,details
2026-01-22 07:42:43,오케스트레이션_계획,gemini-3-flash-preview,1110,548,2320,실행계획 수립
2026-01-22 07:42:51,텍스트생성,gemini-3-flash-preview,2122,4,2990,
2026-01-22 07:44:02,텍스트생성,gemini-3-flash-preview,12031,5598,25828,
2026-01-22 07:44:09,입결비교에이전트,gemini-3-flash-preview,2816,38,3836,컨설팅 agent
2026-01-22 07:44:36,최종답변생성,gemini-3-flash-preview,8573,482,12665,Final Agent
2026-01-22 07:44:45,오케스트레이션_계획,gemini-3-flash-preview,1092,248,2134,실행계획 수립
2026-01-22 07:44:54,선생님에이전트,gemini-3-flash-preview,205,585,1406,선생님 agent
2026-01-22 07:45:13,최종답변생성,gemini-3-flash-preview,1741,262,4986,Final Agent
2026-01-22 07:45:48,오케스트레이션_계획,gemini-3-flash-preview,1095,579,2356,실행계획 수립
2026-01-22 07:45:54,텍스트생성,gemini-3-flash-preview,1358,7,2116,
2026-01-22 07:46:13,텍스트생성,gemini-3-flash-preview,8652,670,10827,
2026-01-22 07:46:19,텍스트생성,gemini-3-flash-preview,2069,7,2972,
2026-01-22 07:46:39,텍스트생성,gemini-3-flash-preview,6845,1050,9629,
2026-01-22 07:46:45,입결비교에이전트,gemini-3-flash-preview,2820,38,3840,컨설팅 agent
2026-01-22 07:47:01,최종답변생성,gemini-3-flash-preview,4933,913,7286,Final Agent
2026-01-22 07:48:13,오케스트레이션_계획,gemini-3-flash-preview,1092,307,2050,실행계획 수립
2026-01-22 07:48:23,선생님에이전트,gemini-3-flash-preview,227,717,1570,선생님 agent
2026-01-22 07:48:35,최종답변생성,gemini-3-flash-preview,1913,259,3708,Final Agent
2026-01-22 09:59:40,오케스트레이션_계획,gemini-3-flash-preview,1103,351,2506,실행계획 수립
2026-01-22 09:59:47,텍스트생성,gemini-3-flash-preview,2170,1,2846,
2026-01-22 09:59:57,텍스트생성,gemini-3-flash-preview,6400,248,7477,
2026-01-22 10:00:15,최종답변생성,gemini-3-flash-preview,2597,495,5328,Final Agent
2026-01-22 11:06:19,오케스트레이션_계획,gemini-3-flash-preview,1583,379,2666,실행계획 수립
2026-01-22 11:06:43,텍스트생성,gemini-3-flash-preview,2279,2,5303,
2026-01-22 11:07:55,텍스트생성,gemini-3-flash-preview,10688,461,21481,
2026-01-22 11:08:23,최종답변생성,gemini-3-flash-preview,3647,164,7739,Final Agent
2026-01-22 11:15:10,오케스트레이션_계획,gemini-3-flash-preview,1092,297,1989,실행계획 수립
2026-01-22 11:15:24,선생님에이전트,gemini-3-flash-preview,210,1159,1907,선생님 agent
2026-01-22 11:15:36,최종답변생성,gemini-3-flash-preview,2360,330,4370,Final Agent
2026-01-22 13:05:56,오케스트레이션_계획,gemini-3-flash-preview,1108,487,2487,실행계획 수립
2026-01-22 13:06:01,텍스트생성,gemini-3-flash-preview,2059,1,2456,
2026-01-22 13:06:28,텍스트생성,gemini-3-flash-preview,4989,3026,9790,
2026-01-22 13:06:35,입결비교에이전트,gemini-3-flash-preview,2808,41,3828,컨설팅 agent
2026-01-22 13:06:56,최종답변생성,gemini-3-flash-preview,5417,723,8867,Final Agent
2026-01-22 13:36:20,오케스트레이션_계획,gemini-3-flash-preview,1804,509,2901,실행계획 수립
2026-01-22 13:36:27,텍스트생성,gemini-3-flash-preview,2059,1,2558,
2026-01-22 13:36:47,텍스트생성,gemini-3-flash-preview,4989,1535,8058,
2026-01-22 13:36:55,입결비교에이전트,gemini-3-flash-preview,2808,41,3828,컨설팅 agent
2026-01-22 13:37:15,최종답변생성,gemini-3-flash-preview,4194,920,7290,Final Agent
2026-01-22 14:19:28,오케스트레이션_계획,gemini-3-flash-preview,1106,490,2174,실행계획 수립
2026-01-22 14:19:35,텍스트생성,gemini-3-flash-preview,2133,4,2862,
2026-01-22 14:21:00,텍스트생성,gemini-3-flash-preview,12042,787,23137,
2026-01-22 14:21:08,입결비교에이전트,gemini-3-flash-preview,2810,38,3830,컨설팅 agent
2026-01-22 14:21:35,최종답변생성,gemini-3-flash-preview,3701,361,7793,Final Agent
2026-01-23 19:09:29,오케스트레이션_계획,gemini-2.5-flash-lite,3701,148,3849,실행계획 수립
2026-01-23 19:09:30,최종답변생성,gemini-2.5-flash-lite,1503,57,1560,Final Agent
2026-01-23 19:09:52,오케스트레이션_계획,gemini-2.5-flash-lite,3745,656,4401,실행계획 수립
2026-01-23 19:10:03,입결비교에이전트,gemini-3-flash-preview,5797,1776,7573,컨설팅 agent
2026-01-23 19:10:09,최종답변생성,gemini-2.5-flash-lite,5252,1257,6509,Final Agent
2026-01-23 19:11:04,오케스트레이션_계획,gemini-2.5-flash-lite,4761,803,5564,실행계획 수립
2026-01-23 19:11:08,입결비교에이전트,gemini-3-flash-preview,8832,1644,10476,컨설팅 agent
2026-01-23 19:11:18,텍스트생성,gemini-3-flash-preview,2052,4,3429,
2026-01-23 19:11:40,텍스트생성,gemini-3-flash-preview,5264,1967,8697,
2026-01-23 19:11:49,텍스트생성,gemini-3-flash-preview,1340,7,2528,
2026-01-23 19:12:16,텍스트생성,gemini-3-flash-preview,8633,1071,12304,
2026-01-23 19:12:25,텍스트생성,gemini-3-flash-preview,1992,7,3152,
2026-01-23 19:12:49,텍스트생성,gemini-3-flash-preview,9963,1530,13005,
2026-01-23 19:12:55,텍스트생성,gemini-3-flash-preview,2714,7,3439,
2026-01-23 19:13:22,텍스트생성,gemini-3-flash-preview,4082,1714,8503,
2026-01-23 19:13:26,최종답변생성,gemini-2.5-flash-lite,13583,1008,14591,Final Agent
2026-01-23 19:14:15,오케스트레이션_계획,gemini-2.5-flash-lite,5824,328,6152,실행계획 수립
2026-01-23 19:14:22,텍스트생성,gemini-3-flash-preview,2145,1,2932,
2026-01-23 19:14:46,텍스트생성,gemini-3-flash-preview,7765,1953,11197,
2026-01-23 19:14:53,최종답변생성,gemini-2.5-flash-lite,5098,1188,6286,Final Agent
2026-01-23 19:22:00,오케스트레이션_계획,gemini-2.5-flash-lite,3701,179,3880,실행계획 수립
2026-01-23 19:22:01,선생님에이전트,gemini-3-flash-preview,167,178,345,선생님 agent
2026-01-23 19:22:02,최종답변생성,gemini-2.5-flash-lite,1688,202,1890,Final Agent
2026-01-23 19:22:36,오케스트레이션_계획,gemini-2.5-flash-lite,3889,542,4431,실행계획 수립
2026-01-23 19:22:42,입결비교에이전트,gemini-3-flash-preview,5763,1180,6943,컨설팅 agent
2026-01-23 19:22:47,최종답변생성,gemini-2.5-flash-lite,4726,828,5554,Final Agent
2026-01-23 19:23:18,오케스트레이션_계획,gemini-2.5-flash-lite,3712,299,4011,실행계획 수립
2026-01-23 19:23:23,텍스트생성,gemini-3-flash-preview,2148,1,2707,
2026-01-23 19:24:37,오케스트레이션_계획,gemini-2.5-flash-lite,3708,529,4237,실행계획 수립
2026-01-23 19:24:47,입결비교에이전트,gemini-3-flash-preview,5741,2019,7760,컨설팅 agent
2026-01-23 19:24:53,최종답변생성,gemini-2.5-flash-lite,5372,763,6135,Final Agent
2026-01-23 19:24:55,오케스트레이션_계획,gemini-2.5-flash-lite,3713,373,4086,실행계획 수립
2026-01-23 19:25:10,선생님에이전트,gemini-3-flash-preview,175,2151,2326,선생님 agent
2026-01-23 19:25:14,최종답변생성,gemini-2.5-flash-lite,3842,759,4601,Final Agent
2026-01-23 19:35:52,오케스트레이션_계획,gemini-2.5-flash-lite,3706,246,3952,실행계획 수립
2026-01-23 19:36:03,선생님에이전트,gemini-3-flash-preview,162,1591,1753,선생님 agent
2026-01-23 19:36:05,최종답변생성,gemini-2.5-flash-lite,3169,132,3301,Final Agent
2026-01-23 19:39:00,오케스트레이션_계획,gemini-2.5-flash-lite,3808,80,3888,실행계획 수립
2026-01-23 19:51:30,오케스트레이션_계획,gemini-2.5-flash-lite,3713,403,4116,실행계획 수립
2026-01-23 19:51:43,선생님에이전트,gemini-3-flash-preview,172,1890,2062,선생님 agent
2026-01-23 19:51:47,최종답변생성,gemini-2.5-flash-lite,3615,824,4439,Final Agent
2026-01-23 19:52:08,오케스트레이션_계획,gemini-2.5-flash-lite,4482,331,4813,실행계획 수립
2026-01-23 19:52:24,선생님에이전트,gemini-3-flash-preview,172,2324,2496,선생님 agent
2026-01-23 19:52:27,최종답변생성,gemini-2.5-flash-lite,4170,379,4549,Final Agent
2026-01-23 19:52:47,오케스트레이션_계획,gemini-2.5-flash-lite,4823,1,4824,실행계획 수립
2026-01-23 19:52:53,오케스트레이션_계획,gemini-2.5-flash-lite,4823,71,4894,실행계획 수립
2026-01-23 19:53:20,오케스트레이션_계획,gemini-2.5-flash-lite,3707,146,3853,실행계획 수립
2026-01-23 19:53:21,최종답변생성,gemini-2.5-flash-lite,1508,62,1570,Final Agent
2026-01-23 19:53:35,오케스트레이션_계획,gemini-2.5-flash-lite,3765,47,3812,실행계획 수립
2026-01-23 19:53:52,오케스트레이션_계획,gemini-2.5-flash-lite,3724,283,4007,실행계획 수립
2026-01-23 19:53:54,최종답변생성,gemini-2.5-flash-lite,1662,274,1936,Final Agent
2026-01-23 19:57:10,오케스트레이션_계획,gemini-2.5-flash-lite,3710,200,3910,실행계획 수립
2026-01-23 19:57:11,최종답변생성,gemini-2.5-flash-lite,1562,153,1715,Final Agent
2026-01-23 19:58:10,오케스트레이션_계획,gemini-2.5-flash-lite,3833,216,4049,실행계획 수립
2026-01-23 19:58:12,최종답변생성,gemini-2.5-flash-lite,1728,130,1858,Final Agent
2026-01-23 19:58:25,오케스트레이션_계획,gemini-2.5-flash-lite,3942,235,4177,실행계획 수립
2026-01-23 19:58:33,오케스트레이션_계획,gemini-2.5-flash-lite,3712,216,3928,실행계획 수립
2026-01-23 19:58:35,최종답변생성,gemini-2.5-flash-lite,1582,198,1780,Final Agent
2026-01-23 19:58:51,오케스트레이션_계획,gemini-2.5-flash-lite,3882,157,4039,실행계획 수립
2026-01-23 19:59:01,오케스트레이션_계획,gemini-2.5-flash-lite,3706,208,3914,실행계획 수립
2026-01-23 19:59:02,최종답변생성,gemini-2.5-flash-lite,1571,146,1717,Final Agent
2026-01-23 19:59:36,오케스트레이션_계획,gemini-2.5-flash-lite,3702,240,3942,실행계획 수립
2026-01-23 19:59:45,선생님에이전트,gemini-3-flash-preview,162,1476,1638,선생님 agent
2026-01-23 19:59:46,최종답변생성,gemini-2.5-flash-lite,3044,154,3198,Final Agent
2026-01-23 20:00:05,오케스트레이션_계획,gemini-2.5-flash-lite,3831,119,3950,실행계획 수립
2026-01-23 20:00:12,오케스트레이션_계획,gemini-2.5-flash-lite,3708,207,3915,실행계획 수립
2026-01-23 20:00:13,최종답변생성,gemini-2.5-flash-lite,1565,121,1686,Final Agent
2026-01-23 20:00:33,오케스트레이션_계획,gemini-2.5-flash-lite,3715,271,3986,실행계획 수립
2026-01-23 20:00:45,선생님에이전트,gemini-3-flash-preview,172,1862,2034,선생님 agent
2026-01-23 20:00:46,최종답변생성,gemini-2.5-flash-lite,3461,148,3609,Final Agent
2026-01-23 20:01:28,오케스트레이션_계획,gemini-2.5-flash-lite,3704,243,3947,실행계획 수립
2026-01-23 20:01:36,선생님에이전트,gemini-3-flash-preview,162,1282,1444,선생님 agent
2026-01-23 20:01:38,최종답변생성,gemini-2.5-flash-lite,2857,156,3013,Final Agent
2026-01-23 20:05:16,PDF파싱_청크,gemini-2.5-flash-lite,381,976,1357,청크 1 (페이지 1-1)
2026-01-23 20:05:18,PDF파싱_총합,gemini-2.5-flash-lite,381,976,1357,"2025년 4월 각 군 현역병 모집계획.pdf (1페이지, 1청크)"
2026-01-23 20:05:26,텍스트생성,gemini-3-flash-preview,1200,234,2452,
2026-01-23 20:05:39,텍스트생성,gemini-3-flash-preview,1796,41,3664,
2026-01-23 20:07:28,오케스트레이션_계획,gemini-2.5-flash-lite,3705,341,4046,실행계획 수립
2026-01-23 20:07:37,선생님에이전트,gemini-3-flash-preview,173,1362,1535,선생님 agent
2026-01-23 20:07:42,최종답변생성,gemini-2.5-flash-lite,3012,591,3603,Final Agent
2026-01-23 20:12:35,PDF파싱_청크,gemini-2.5-flash-lite,1413,2063,3476,청크 1 (페이지 1-5)
2026-01-23 20:12:38,PDF파싱_청크,gemini-2.5-flash-lite,1413,3674,5087,청크 3 (페이지 11-15)
2026-01-23 20:12:41,PDF파싱_청크,gemini-2.5-flash-lite,1413,6999,8412,청크 2 (페이지 6-10)
2026-01-23 20:12:46,PDF파싱_청크,gemini-2.5-flash-lite,1413,5282,6695,청크 4 (페이지 16-20)
2026-01-23 20:12:50,PDF파싱_청크,gemini-2.5-flash-lite,1413,3865,5278,청크 5 (페이지 21-25)
2026-01-23 20:12:53,PDF파싱_청크,gemini-2.5-flash-lite,1413,4116,5529,청크 6 (페이지 26-30)
2026-01-23 20:12:56,PDF파싱_청크,gemini-2.5-flash-lite,1413,3768,5181,청크 7 (페이지 31-35)
2026-01-23 20:12:59,PDF파싱_청크,gemini-2.5-flash-lite,1413,3589,5002,청크 8 (페이지 36-40)
2026-01-23 20:13:01,PDF파싱_청크,gemini-2.5-flash-lite,1413,4463,5876,청크 9 (페이지 41-45)
2026-01-23 20:13:05,PDF파싱_청크,gemini-2.5-flash-lite,1413,6269,7682,청크 10 (페이지 46-50)
2026-01-23 20:13:49,PDF파싱_청크,gemini-2.5-flash-lite,1413,3620,5033,청크 11 (페이지 51-55)
2026-01-23 20:13:52,PDF파싱_청크,gemini-2.5-flash-lite,1413,2990,4403,청크 14 (페이지 66-70)
2026-01-23 20:13:54,PDF파싱_청크,gemini-2.5-flash-lite,1413,4637,6050,청크 13 (페이지 61-65)
2026-01-23 20:13:58,PDF파싱_청크,gemini-2.5-flash-lite,1413,4321,5734,청크 15 (페이지 71-75)
2026-01-23 20:14:01,PDF파싱_청크,gemini-2.5-flash-lite,1413,3713,5126,청크 16 (페이지 76-80)
2026-01-23 20:14:05,PDF파싱_청크,gemini-2.5-flash-lite,1413,4041,5454,청크 18 (페이지 86-90)
2026-01-23 20:14:07,PDF파싱_청크,gemini-2.5-flash-lite,1413,3882,5295,청크 19 (페이지 91-95)
2026-01-23 20:14:12,PDF파싱_청크,gemini-2.5-flash-lite,1413,8108,9521,청크 17 (페이지 81-85)
2026-01-23 20:16:21,PDF파싱_청크,gemini-2.5-flash-lite,1413,65536,66949,청크 12 (페이지 56-60)
2026-01-23 20:16:44,PDF파싱_청크,gemini-2.5-flash-lite,1413,65536,66949,청크 20 (페이지 96-100)
2026-01-23 20:17:39,PDF파싱_청크,gemini-2.5-flash-lite,1413,2829,4242,청크 23 (페이지 111-115)
2026-01-23 20:17:42,PDF파싱_청크,gemini-2.5-flash-lite,1413,1287,2700,청크 25 (페이지 121-125)
2026-01-23 20:17:44,PDF파싱_청크,gemini-2.5-flash-lite,1413,4656,6069,청크 22 (페이지 106-110)
2026-01-23 20:17:47,PDF파싱_청크,gemini-2.5-flash-lite,1413,1195,2608,청크 28 (페이지 136-140)
2026-01-23 20:17:52,PDF파싱_청크,gemini-2.5-flash-lite,1413,6296,7709,청크 26 (페이지 126-130)
2026-01-23 20:17:58,PDF파싱_청크,gemini-2.5-flash-lite,1413,4842,6255,청크 29 (페이지 141-145)
2026-01-23 20:19:05,PDF파싱_청크,gemini-2.5-flash-lite,1413,65536,66949,청크 30 (페이지 146-150)
2026-01-23 20:20:04,PDF파싱_청크,gemini-2.5-flash-lite,1413,65536,66949,청크 21 (페이지 101-105)
2026-01-23 20:20:31,PDF파싱_청크,gemini-2.5-flash-lite,1413,65535,66948,청크 24 (페이지 116-120)
2026-01-23 20:20:58,PDF파싱_청크,gemini-2.5-flash-lite,1413,65536,66949,청크 27 (페이지 131-135)
2026-01-23 20:21:23,PDF파싱_청크,gemini-2.5-flash-lite,1413,1363,2776,청크 31 (페이지 151-155)
2026-01-23 20:22:16,PDF파싱_청크,gemini-2.5-flash-lite,1413,12795,14208,청크 32 (페이지 156-160)
2026-01-23 20:22:27,PDF파싱_총합,gemini-2.5-flash-lite,45216,507878,553094,"2026 수능특강 미적분.pdf.pdf (160페이지, 32청크)"
2026-01-23 20:22:35,텍스트생성,gemini-3-flash-preview,1964,186,2972,
2026-01-23 20:22:43,텍스트생성,gemini-3-flash-preview,2560,43,3520,
2026-01-23 20:38:47,오케스트레이션_계획,gemini-2.5-flash-lite,3701,144,3845,실행계획 수립
2026-01-23 20:38:48,오케스트레이션_계획,gemini-2.5-flash-lite,3703,161,3864,실행계획 수립
2026-01-23 20:38:49,오케스트레이션_계획,gemini-2.5-flash-lite,3701,147,3848,실행계획 수립
2026-01-23 20:38:50,오케스트레이션_계획,gemini-2.5-flash-lite,3701,142,3843,실행계획 수립
2026-01-23 20:38:52,오케스트레이션_계획,gemini-2.5-flash-lite,3712,310,4022,실행계획 수립
2026-01-23 20:38:53,최종답변생성,gemini-2.5-flash-lite,1502,89,1591,Final Agent
2026-01-23 20:42:32,오케스트레이션_계획,gemini-2.5-flash-lite,3712,318,4030,실행계획 수립
2026-01-23 20:45:00,최종답변생성,gemini-2.5-flash-lite,1655,272,1927,Final Agent
2026-01-23 20:47:28,오케스트레이션_계획,gemini-2.5-flash-lite,3707,516,4223,실행계획 수립
2026-01-23 20:47:30,오케스트레이션_계획,gemini-2.5-flash-lite,3715,666,4381,실행계획 수립
2026-01-23 20:49:58,오케스트레이션_계획,gemini-2.5-flash-lite,3707,506,4213,실행계획 수립
2026-01-23 20:58:24,오케스트레이션_계획,gemini-2.5-flash-lite,3701,154,3855,실행계획 수립
2026-01-23 20:58:25,최종답변생성,gemini-2.5-flash-lite,1510,72,1582,Final Agent
2026-01-23 20:58:47,오케스트레이션_계획,gemini-2.5-flash-lite,3759,612,4371,실행계획 수립
2026-01-23 20:58:57,입결비교에이전트,gemini-3-flash-preview,5732,2652,8384,컨설팅 agent
2026-01-23 20:59:02,최종답변생성,gemini-2.5-flash-lite,6144,1508,7652,Final Agent
2026-01-23 21:09:54,오케스트레이션_계획,gemini-2.5-flash-lite,3701,143,3844,실행계획 수립
2026-01-23 21:09:55,최종답변생성,gemini-2.5-flash-lite,1498,85,1583,Final Agent
2026-01-23 21:14:24,오케스트레이션_계획,gemini-2.5-flash-lite,3715,404,4119,실행계획 수립
2026-01-23 21:14:30,선생님에이전트,gemini-3-flash-preview,179,2588,2767,선생님 agent
2026-01-23 21:14:33,최종답변생성,gemini-2.5-flash-lite,4314,691,5005,Final Agent
2026-01-23 23:15:10,오케스트레이션_계획,gemini-2.5-flash-lite,3713,436,4149,실행계획 수립
2026-01-23 23:15:19,선생님에이전트,gemini-3-flash-preview,172,2156,2328,선생님 agent
2026-01-23 23:15:23,최종답변생성,gemini-2.5-flash-lite,3914,997,4911,Final Agent
2026-01-23 23:36:36,오케스트레이션_계획,gemini-2.5-flash-lite,3712,287,3999,실행계획 수립
2026-01-23 23:36:44,텍스트생성,gemini-3-flash-preview,2147,1,2780,
2026-01-23 23:36:58,텍스트생성,gemini-3-flash-preview,4176,547,5935,
2026-01-23 23:37:00,최종답변생성,gemini-2.5-flash-lite,3596,798,4394,Final Agent
2026-01-24 00:48:19,오케스트레이션_계획,gemini-2.5-flash-lite,3716,719,4435,실행계획 수립
2026-01-24 00:48:32,텍스트생성,gemini-3-flash-preview,2152,4,3577,
2026-01-24 00:48:55,텍스트생성,gemini-3-flash-preview,7841,1920,11453,
2026-01-24 00:49:02,텍스트생성,gemini-3-flash-preview,1337,4,2167,
2026-01-24 00:49:18,텍스트생성,gemini-3-flash-preview,8599,985,10675,
2026-01-24 00:49:25,텍스트생성,gemini-3-flash-preview,2049,4,2926,
2026-01-24 00:49:42,텍스트생성,gemini-3-flash-preview,6798,1042,9334,
2026-01-24 00:49:49,입결비교에이전트,gemini-3-flash-preview,4800,1510,6310,컨설팅 agent
2026-01-24 00:49:53,최종답변생성,gemini-2.5-flash-lite,9686,1295,10981,Final Agent
2026-01-24 02:09:34,오케스트레이션_계획,gemini-2.5-flash-lite,3714,388,4102,실행계획 수립
2026-01-24 02:11:29,선생님에이전트,gemini-3-flash-preview,179,846,1025,선생님 agent
2026-01-24 02:11:33,최종답변생성,gemini-2.5-flash-lite,67246,1087,68333,Final Agent
2026-01-24 02:48:25,오케스트레이션_계획,gemini-2.5-flash-lite,3707,535,4242,실행계획 수립
2026-01-24 02:48:35,입결비교에이전트,gemini-3-flash-preview,5719,2160,7879,컨설팅 agent
2026-01-24 02:48:39,최종답변생성,gemini-2.5-flash-lite,5502,1287,6789,Final Agent
2026-01-24 03:27:56,오케스트레이션_계획,gemini-2.5-flash-lite,3716,580,4296,실행계획 수립
2026-01-24 03:28:04,텍스트생성,gemini-3-flash-preview,2158,4,2933,
2026-01-24 03:28:27,텍스트생성,gemini-3-flash-preview,7807,1327,10365,
2026-01-24 03:28:33,텍스트생성,gemini-3-flash-preview,1343,7,2096,
2026-01-24 03:28:54,텍스트생성,gemini-3-flash-preview,8637,1035,11486,
2026-01-24 03:29:00,텍스트생성,gemini-3-flash-preview,2055,7,2598,
2026-01-24 03:29:19,텍스트생성,gemini-3-flash-preview,6831,1163,9412,
2026-01-24 03:29:25,최종답변생성,gemini-2.5-flash-lite,7520,2186,9706,Final Agent
2026-01-24 04:40:17,오케스트레이션_계획,gemini-2.5-flash-lite,3712,526,4238,실행계획 수립
2026-01-24 04:40:29,입결비교에이전트,gemini-3-flash-preview,5726,1907,7633,컨설팅 agent
2026-01-24 04:40:32,최종답변생성,gemini-2.5-flash-lite,5263,1004,6267,Final Agent
2026-01-24 05:51:19,오케스트레이션_계획,gemini-2.5-flash-lite,3717,504,4221,실행계획 수립
2026-01-24 05:51:28,입결비교에이전트,gemini-3-flash-preview,8696,745,9441,컨설팅 agent
2026-01-24 05:51:33,최종답변생성,gemini-2.5-flash-lite,4636,1169,5805,Final Agent
2026-01-24 09:07:42,오케스트레이션_계획,gemini-2.5-flash-lite,3701,150,3851,실행계획 수립
2026-01-24 09:07:43,최종답변생성,gemini-2.5-flash-lite,1508,98,1606,Final Agent
2026-01-24 09:44:19,오케스트레이션_계획,gemini-2.5-flash-lite,3709,519,4228,실행계획 수립
2026-01-24 09:44:31,입결비교에이전트,gemini-3-flash-preview,5745,2845,8590,컨설팅 agent
2026-01-24 09:44:36,최종답변생성,gemini-2.5-flash-lite,6186,1336,7522,Final Agent
2026-01-24 09:46:13,오케스트레이션_계획,gemini-2.5-flash-lite,3709,543,4252,실행계획 수립
2026-01-24 09:46:18,입결비교에이전트,gemini-3-flash-preview,5413,972,6385,컨설팅 agent
2026-01-24 09:46:24,최종답변생성,gemini-2.5-flash-lite,4341,1210,5551,Final Agent
2026-01-24 09:47:33,오케스트레이션_계획,gemini-2.5-flash-lite,4782,535,5317,실행계획 수립
2026-01-24 09:47:53,오케스트레이션_계획,gemini-2.5-flash-lite,3708,519,4227,실행계획 수립
2026-01-24 09:48:00,입결비교에이전트,gemini-3-flash-preview,5749,2889,8638,컨설팅 agent
2026-01-24 09:48:03,최종답변생성,gemini-2.5-flash-lite,6232,764,6996,Final Agent
2026-01-24 11:46:27,오케스트레이션_계획,gemini-2.5-flash-lite,3712,295,4007,실행계획 수립
2026-01-24 11:46:34,텍스트생성,gemini-3-flash-preview,2148,1,2658,
2026-01-24 11:46:51,텍스트생성,gemini-3-flash-preview,4177,865,6511,
2026-01-24 11:46:56,최종답변생성,gemini-2.5-flash-lite,3919,1388,5307,Final Agent
2026-01-24 11:54:18,오케스트레이션_계획,gemini-2.5-flash-lite,3718,317,4035,실행계획 수립
2026-01-24 11:54:25,텍스트생성,gemini-3-flash-preview,2145,1,2818,
2026-01-24 11:54:37,텍스트생성,gemini-3-flash-preview,4174,738,6045,
2026-01-24 11:54:39,최종답변생성,gemini-2.5-flash-lite,3823,426,4249,Final Agent
2026-01-24 11:56:09,오케스트레이션_계획,gemini-2.5-flash-lite,3712,294,4006,실행계획 수립
2026-01-24 11:56:16,텍스트생성,gemini-3-flash-preview,2146,1,2947,
2026-01-24 11:56:30,텍스트생성,gemini-3-flash-preview,4175,580,6011,
2026-01-24 11:56:32,최종답변생성,gemini-2.5-flash-lite,3632,890,4522,Final Agent
2026-01-24 15:24:27,오케스트레이션_계획,gemini-2.5-flash-lite,3712,304,4016,실행계획 수립
2026-01-24 15:24:35,텍스트생성,gemini-3-flash-preview,2148,1,2918,
2026-01-24 15:24:50,텍스트생성,gemini-3-flash-preview,4177,557,6033,
2026-01-24 15:24:54,최종답변생성,gemini-2.5-flash-lite,3618,763,4381,Final Agent
2026-01-25 05:40:07,오케스트레이션_계획,gemini-2.5-flash-lite,3701,143,3844,실행계획 수립
2026-01-25 05:40:08,최종답변생성,gemini-2.5-flash-lite,1500,60,1560,Final Agent
2026-01-25 05:42:28,오케스트레이션_계획,gemini-2.5-flash-lite,3751,325,4076,실행계획 수립
2026-01-25 05:42:35,텍스트생성,gemini-3-flash-preview,2703,4,3457,
2026-01-25 05:42:55,텍스트생성,gemini-3-flash-preview,4049,1010,6989,
2026-01-25 05:42:58,최종답변생성,gemini-2.5-flash-lite,4188,788,4976,Final Agent
2026-01-25 05:44:19,오케스트레이션_계획,gemini-2.5-flash-lite,4245,767,5012,실행계획 수립
2026-01-25 05:44:22,최종답변생성,gemini-2.5-flash-lite,1687,522,2209,Final Agent
2026-01-25 05:44:42,오케스트레이션_계획,gemini-2.5-flash-lite,4832,749,5581,실행계획 수립
2026-01-25 05:44:50,텍스트생성,gemini-3-flash-preview,2727,7,3913,
2026-01-25 05:45:17,텍스트생성,gemini-3-flash-preview,4096,989,8992,
2026-01-25 05:45:26,입결비교에이전트,gemini-3-flash-preview,9527,2643,12170,컨설팅 agent
2026-01-25 05:45:30,최종답변생성,gemini-2.5-flash-lite,7960,1258,9218,Final Agent
2026-01-25 05:59:36,오케스트레이션_계획,gemini-2.5-flash-lite,5948,286,6234,실행계획 수립
2026-01-25 05:59:46,텍스트생성,gemini-3-flash-preview,2704,3,3932,
2026-01-25 06:00:00,텍스트생성,gemini-3-flash-preview,4050,851,6273,
2026-01-25 06:00:03,최종답변생성,gemini-2.5-flash-lite,4658,908,5566,Final Agent
2026-01-25 06:34:27,오케스트레이션_계획,gemini-2.5-flash-lite,3707,543,4250,실행계획 수립
2026-01-25 06:34:37,입결비교에이전트,gemini-3-flash-preview,5751,1045,6796,컨설팅 agent
2026-01-25 06:34:41,최종답변생성,gemini-2.5-flash-lite,4382,917,5299,Final Agent
2026-01-25 11:21:45,오케스트레이션_계획,gemini-2.5-flash-lite,3701,190,3891,실행계획 수립
2026-01-25 11:21:48,선생님에이전트,gemini-3-flash-preview,164,515,679,선생님 agent
2026-01-25 11:21:49,최종답변생성,gemini-2.5-flash-lite,2038,129,2167,Final Agent
2026-01-25 11:31:41,오케스트레이션_계획,gemini-2.5-flash-lite,3713,364,4077,실행계획 수립
2026-01-25 11:31:50,선생님에이전트,gemini-3-flash-preview,175,2526,2701,선생님 agent
2026-01-25 11:31:52,최종답변생성,gemini-2.5-flash-lite,4210,383,4593,Final Agent
2026-01-26 05:41:29,오케스트레이션_계획,gemini-2.5-flash-lite,3708,497,4205,실행계획 수립
2026-01-26 05:41:42,입결비교에이전트,gemini-3-flash-preview,5671,2447,8118,컨설팅 agent
2026-01-26 05:41:45,최종답변생성,gemini-2.5-flash-lite,5772,1169,6941,Final Agent
2026-01-26 05:53:49,오케스트레이션_계획,gemini-2.5-flash-lite,3713,502,4215,실행계획 수립
2026-01-26 05:53:53,입결비교에이전트,gemini-3-flash-preview,5253,612,5865,컨설팅 agent
2026-01-26 05:53:57,최종답변생성,gemini-2.5-flash-lite,4029,929,4958,Final Agent
